url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_rank
http://www.nbtos.com/images/login.htm?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fnyvpwweus.battle.net\%2Fd3\%2Fen\%2Findex&amp;amp;app=com-d3,1,1,0,2890120071,0,1,155,0,0,0,10000000
http://tools.ietf.org/html/rfc539,1,1,1,69191229,13,0,34,0,0,1,12119
http://en.wikipedia.org/wiki/Bytecode,1,1,1,1734780640,336,0,38,0,0,1,13
http://blog.escuelactec.com/wp-content/uploads/2012/Trulia/index.htm,0,1,0,2733726068,96,1,68,1,0,1,4917605
http://pastehtml.com/view/b9matmxt9.html,1,1,1,2542501898,5,0,41,0,0,1,1250938
http://www.ntecs.de/old-hp/s-direktnet/lang_cmp.en.htm,1,1,0,2953392377,0,1,59,0,0,0,10000000
http://home.comcast.net/~kmbtib/index.html,1,1,1,1174163531,7,1,41,0,0,1,305
http://java.sun.com/javase/technologies/core/basic/rmi/,1,1,0,2627156755,53,0,82,0,0,1,469
http://partition.radified.com/partitioning.htm,0,1,0,1079769184,77,0,46,1,0,1,2671145
http://www.ibiblio.org/javafaq/javatutorial.html,1,1,0,2551416360,180,0,43,1,0,1,503852
http://code.google.com/p/modwsgi/,1,1,0,3627731022,7,0,41,0,0,1,1
http://www.ibm.com/software/awdtools/rmc/,1,1,1,1749720821,57,0,37,0,0,1,745
http://tncbio.com/system/application/views/admin/tinymce/jscripts/tiny_mce/plugins/filemanager/files/templates/directory/images/cgi-bin/0beff29211695a25b618d89331d2d314/webscr.htm,1,1,0,1572516600,0,1,184,0,0,1,10000000
http://www.sakkal.com/IslamiClip1.html,0,1,0,2789099522,10,0,38,1,0,1,2154822
http://www.fibtex.lodz.pl/58_18_68.pdf,0,1,0,3560161292,0,0,38,1,0,0,30365
http://yblbooks.com/bookkeeping/directions.htm,0,1,0,1079653042,0,1,46,1,0,0,10000000
http://allegrobezpiecznelogowanie.net16.net/allegro_wAJBQAHB1IAXlurl2YVQAAF0MUBUlwIAUFdeDgYBUlwIAUwAJBQAHB1IAXAAwAJBQAHB1IAXlurl=NNDc2YVQAAFUwAJBQAHB1session/sursa.html,1,1,0,2572943460,1,1,46,0,0,1,6382
http://tools.ietf.org/html/rfc987,1,1,1,69191229,434,0,34,0,0,1,12119
http://www.cse.iitb.ac.in/soumen/doc/www2002m/p336-chakrabarti.pdf,1,1,0,1729462150,1,1,67,0,0,1,4337
